RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.05;20000;3354;20000;3354;0;0;CORRECT SAMPLES_AFTER
0.006;2000;346;2000;346;0;0;CORRECT SAMPLES_AFTER
0.049;20000;3435;20000;3435;0;0;CORRECT SAMPLES_AFTER
0.06;20100;3435;20000;3435;100;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.052;21000;3587;20000;3587;1000;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.002;100;15;100;15;0;0;CORRECT SAMPLES_AFTER
0.002;10;2;10;2;0;0;CORRECT SAMPLES_AFTER
0.012;100;17;100;17;0;0;CORRECT SAMPLES_AFTER
0.004;10;1;10;1;0;0;CORRECT SAMPLES_AFTER
0.004;500;83;500;83;0;0;CORRECT SAMPLES_AFTER
0.002;10;0;10;0;0;0;CORRECT SAMPLES_AFTER
0.005;1000;29;1000;29;0;0;CORRECT SAMPLES_AFTER
0.005;1100;28;1000;28;100;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.004;1000;36;1000;36;0;0;CORRECT SAMPLES_AFTER
0.005;1500;43;1000;43;500;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
