RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.026;10000;968;10000;968;0;0;CORRECT SAMPLES_AFTER
0.022;10000;548;10000;548;0;0;CORRECT SAMPLES_AFTER
0.027;10000;38;10000;38;0;0;CORRECT SAMPLES_AFTER
0.021;10000;2;10000;2;0;0;CORRECT SAMPLES_AFTER
0.021;10000;0;10000;0;0;0;CORRECT SAMPLES_AFTER
0.023;10000;2;10000;2;0;0;CORRECT SAMPLES_AFTER
0.022;10000;1;10000;1;0;0;CORRECT SAMPLES_AFTER
0.033;10000;806;10000;806;0;0;CORRECT SAMPLES_AFTER
0.022;10000;822;10000;822;0;0;CORRECT SAMPLES_AFTER
0.022;10000;1;0;1;10000;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
