RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.021;10000;1006;10000;1006;0;0;CORRECT SAMPLES_AFTER
0.023;10000;1019;10000;1019;0;0;CORRECT SAMPLES_AFTER
0.023;10000;1018;10000;1018;0;0;CORRECT SAMPLES_AFTER
0.025;10000;1125;10000;1125;0;0;CORRECT SAMPLES_AFTER
0.023;10000;969;10000;969;0;0;CORRECT SAMPLES_AFTER
0.021;10000;1000;10000;1000;0;0;CORRECT SAMPLES_AFTER
0.023;10000;979;10000;979;0;0;CORRECT SAMPLES_AFTER
0.025;10000;956;10000;956;0;0;CORRECT SAMPLES_AFTER
0.023;10000;983;10000;983;0;0;CORRECT SAMPLES_AFTER
0.031;10000;929;10000;929;0;0;CORRECT SAMPLES_AFTER
0.023;10000;965;10000;965;0;0;CORRECT SAMPLES_AFTER
0.022;10000;974;10000;974;0;0;CORRECT SAMPLES_AFTER
0.022;10000;978;10000;978;0;0;CORRECT SAMPLES_AFTER
0.031;10000;962;10000;962;0;0;CORRECT SAMPLES_AFTER
0.02;10000;1014;10000;1014;0;0;CORRECT SAMPLES_AFTER
0.021;10000;994;10000;994;0;0;CORRECT SAMPLES_AFTER
0.023;10000;988;10000;988;0;0;CORRECT SAMPLES_AFTER
0.022;10000;952;10000;952;0;0;CORRECT SAMPLES_AFTER
0.021;10000;1006;10000;1006;0;0;CORRECT SAMPLES_AFTER
0.046;10000;985;10000;985;0;0;CORRECT SAMPLES_AFTER
0.021;10000;948;10000;948;0;0;CORRECT SAMPLES_AFTER
